Player Name,#,Yr,Pos,Ht,GP,GS,MP,FGM,FGA,FG%,3FG,3FGA,3FG%,FT,FTA,FT%,Avg,PTS,ORebs,DRebs,Tot Reb,Avg,AST,TO,STL,BLK,Fouls,Dbl Dbl,Trpl Dbl,DQ,Tech Fouls,Effective FG Pct.,Bench
Adam Strong-Jacobson,,So,F,6-7,13.0,12.0,272:24,57.0,91.0,62.64,8.0,16.0,50.00,37.0,57.0,64.91,8.38,159.0,34.0,75.0,109.0,8.38,15.0,24.0,15.0,17.0,19.0,5.0,,,,1.000,0.0
Alex George,,So,G,6-1,13.0,11.0,265:25,17.0,30.0,56.67,,3.0,0.00,11.0,15.0,73.33,1.31,45.0,10.0,7.0,17.0,1.31,30.0,14.0,7.0,1.0,24.0,,,,,3.000,0.0
Carter Warren,,So,G,5-10,13.0,8.0,252:46,22.0,83.0,26.51,16.0,66.0,24.24,13.0,17.0,76.47,2.92,73.0,10.0,28.0,38.0,2.92,41.0,28.0,13.0,1.0,32.0,,,1.0,,,0.0
Christian Uremovich,,So,F,6-6,13.0,12.0,253:01,54.0,95.0,56.84,,,,16.0,20.0,80.00,3.62,124.0,16.0,31.0,47.0,3.62,19.0,9.0,8.0,4.0,10.0,,,,1.0,,0.0
Emmanuel Cheung Hernandez,,Fr,G,6-2,13.0,1.0,156:49,29.0,62.0,46.77,2.0,4.0,50.00,12.0,26.0,46.15,3.31,72.0,23.0,20.0,43.0,3.31,13.0,23.0,12.0,1.0,33.0,,,1.0,,2.000,0.0
Gaven Marr,,Jr,G,6-3,7.0,4.0,125:00,20.0,54.0,37.04,11.0,28.0,39.29,11.0,15.0,73.33,2.57,62.0,3.0,15.0,18.0,2.57,9.0,12.0,8.0,1.0,5.0,,,,,,0.0
Henry Nam,,So,G,6-6,7.0,0.0,22:02,4.0,7.0,57.14,2.0,2.0,100.00,,,,0.57,10.0,3.0,1.0,4.0,0.57,1.0,2.0,,,,,,,,,0.0
Ian Hochman,,So,F,6-6,9.0,0.0,41:55,2.0,8.0,25.00,1.0,3.0,33.33,,,,1.22,5.0,3.0,8.0,11.0,1.22,,1.0,1.0,1.0,4.0,,,,,1.000,0.0
Isaac Varghese,,Jr,G,6-1,13.0,1.0,203:49,24.0,70.0,34.29,14.0,38.0,36.84,9.0,11.0,81.82,1.23,71.0,4.0,12.0,16.0,1.23,14.0,20.0,7.0,1.0,14.0,,,,,1.000,0.0
Josh Ho,,Fr,G,6-2,7.0,0.0,21:13,4.0,10.0,40.00,,1.0,0.00,4.0,6.0,66.67,0.29,12.0,,2.0,2.0,0.29,1.0,1.0,1.0,,,,,,,1.000,0.0
Kae Kilic,,Fr,G,5-10,10.0,0.0,44:24,11.0,14.0,78.57,8.0,11.0,72.73,4.0,5.0,80.00,0.7,34.0,2.0,5.0,7.0,0.7,3.0,2.0,2.0,,2.0,,,,,5.000,0.0
Lawson Holland,,Fr,G,6-2,8.0,0.0,31:01,4.0,10.0,40.00,4.0,10.0,40.00,,,,0.63,12.0,2.0,3.0,5.0,0.63,,2.0,2.0,1.0,4.0,,,,,1.000,0.0
Niko Rizos,,Fr,G,6-5,13.0,1.0,197:28,25.0,59.0,42.37,2.0,12.0,16.67,13.0,24.0,54.17,5.62,65.0,23.0,50.0,73.0,5.62,14.0,15.0,7.0,10.0,25.0,1.0,,,,,0.0
Opponent Totals,,-,-,-,-,-,2600:00,311.0,783.0,39.72,95.0,298.0,31.88,184.0,255.0,72.16,36.08,901.0,144.0,325.0,469.0,36.08,145.0,199.0,103.0,35.0,211.0,13.0,11.0,,3.0,,255.0
Raja Coleman,,Jr,G,5-9,13.0,5.0,253:46,24.0,74.0,32.43,17.0,52.0,32.69,12.0,22.0,54.55,1.92,77.0,4.0,21.0,25.0,1.92,18.0,22.0,7.0,,30.0,,,1.0,,,0.0
Seth Anderson,,Jr,F,6-8,13.0,1.0,206:24,18.0,51.0,35.29,5.0,19.0,26.32,3.0,5.0,60.00,4.08,44.0,22.0,31.0,53.0,4.08,14.0,13.0,5.0,2.0,16.0,,,,,2.000,0.0
TEAM,,-,-,-,-,-,,,,,,,,,,,,,18.0,30.0,48.0,,,3.0,,,,,,,,,
Totals,,-,-,-,-,-,2599:59,350.0,830.0,42.17,111.0,333.0,33.33,166.0,254.0,65.35,42.54,977.0,190.0,363.0,553.0,42.54,200.0,207.0,109.0,43.0,243.0,13.0,12.0,3.0,1.0,,464.0
Tyler Nolan,,Fr,G,6-3,13.0,9.0,252:32,35.0,112.0,31.25,21.0,68.0,30.88,21.0,31.0,67.74,2.85,112.0,13.0,24.0,37.0,2.85,8.0,16.0,14.0,3.0,25.0,,,,,,0.0
