Player Name,#,Yr,Pos,Ht,GP,GS,Goals,Assists,ShAtt,SoG,Fouls,Red Cards,Yellow Cards,PK,PK Att,Corners,GWG
Aaron Park,,So,M,5-9,19.0,1.0,,1.0,7.0,3.0,6.0,,,,,,
Aidan Lacy,,Jr,M,-,2.0,0.0,,,1.0,1.0,,,,,,,
Aidan Rodriguez,,So,F,5-10,3.0,0.0,1.0,,4.0,2.0,2.0,,,,,,
Aidan Wong,,Fr,M,5-11,2.0,0.0,1.0,,1.0,1.0,1.0,,,,,,
Aiden Lee,,Fr,M,5-9,17.0,5.0,2.0,1.0,9.0,3.0,7.0,,1.0,,,,1.0
Alex Kushnir,,Fr,F,6-4,1.0,0.0,,1.0,5.0,1.0,2.0,,1.0,,1.0,,
Andrew Fritz,,Sr,F,-,20.0,14.0,2.0,1.0,33.0,14.0,4.0,,1.0,,,,1.0
Carter Kroenke,,Jr,D,-,20.0,18.0,,1.0,6.0,3.0,5.0,,3.0,,,,
Charles Sharp,,Fr,F,6-0,20.0,15.0,5.0,3.0,53.0,19.0,16.0,,1.0,,,,2.0
Conrad Coyanda-Parkzes,,Sr,D,-,10.0,3.0,,,4.0,1.0,2.0,,1.0,,,,
Cooper Cohen,,Fr,D,6-1,6.0,3.0,1.0,,2.0,2.0,2.0,,,,,,
Gabe Knopf,,Sr,M,-,20.0,19.0,1.0,1.0,15.0,6.0,5.0,,2.0,,,,1.0
Grayson Benson,,Fr,GK,-,20.0,20.0,,,,,,,,,,,
Jack Bonner,,Jr,M,-,17.0,0.0,2.0,,17.0,8.0,7.0,1.0,1.0,,,,
James Smith,,Fr,M,5-8,2.0,0.0,,,,,,,,,,,
John Dowd,,Jr,M,-,20.0,11.0,2.0,,17.0,6.0,13.0,,1.0,,,,1.0
Jonathan D'Amour,,So,M,6-0,20.0,13.0,5.0,1.0,29.0,12.0,7.0,,3.0,1.0,1.0,,1.0
Josh Brown,,Jr,MD,-,17.0,15.0,2.0,1.0,20.0,4.0,4.0,,1.0,,,,1.0
Juan Rivera,,Sr,M,-,20.0,20.0,2.0,3.0,14.0,7.0,5.0,,,1.0,1.0,,
Kieran Kunihiro,,Sr,D,-,20.0,20.0,3.0,1.0,18.0,8.0,9.0,,1.0,,,,1.0
Max Lovinger,,Jr,M,-,5.0,0.0,,1.0,7.0,3.0,,,,,,,
Max McKinney,,Fr,M,5-11,20.0,19.0,1.0,,5.0,2.0,6.0,,1.0,,,,1.0
Ollie McNamara,,So,GK,6-4,1.0,0.0,,,,,,,,,,,
Opponent Totals,,-,-,-,-,-,9.0,4.0,144.0,54.0,201.0,1.0,31.0,1.0,1.0,71.0,
Pavel Yurkov,,So,MD,6-0,4.0,0.0,1.0,1.0,5.0,1.0,3.0,,,,,,
Sam Kinsey,,Fr,D,5-11,2.0,0.0,,,1.0,,2.0,,,,,,
Saylen Cardoni,,Jr,M,-,6.0,0.0,,,5.0,1.0,2.0,,1.0,,,,
Sho Nadata,,Fr,F,5-6,14.0,4.0,1.0,2.0,9.0,1.0,5.0,,1.0,,,,
Simon Bank,,So,GK,6-0,1.0,0.0,,,,,,,,,,,
TEAM,,-,-,-,-,-,,,,,78.0,,1.0,,,,
Thomas Vanni,,Jr,M,-,19.0,19.0,2.0,9.0,46.0,21.0,11.0,,,,,,
Thomas Zamsky,,Fr,M,5-9,3.0,0.0,,,1.0,1.0,,,,,,,
Totals,,-,-,-,-,-,34.0,28.0,334.0,131.0,204.0,1.0,21.0,2.0,3.0,90.0,10.0
Tyler Jones,,So,D,5-11,4.0,1.0,,,,,,,,,,,
