Player Name,Season,#,Yr,Pos,Ht,GP,GS,Goals,Assists,ShAtt,SoG,Fouls,Red Cards,Yellow Cards,PK,PK Att,Corners,GWG
Andrew Fritz,Unknown,,Sr,F,-,20,14,2,1,33,14,4,,1,,,,1
Conrad Coyanda-Parkzes,Unknown,,Sr,D,-,10,3,,,4,1,2,,1,,,,
Gabe Knopf,Unknown,,Sr,M,-,20,19,1,1,15,6,5,,2,,,,1
Kieran Kunihiro,Unknown,,Sr,D,-,20,20,3,1,18,8,9,,1,,,,1
Juan Rivera,Unknown,,Sr,M,-,20,20,2,3,14,7,5,,,1,1,,
Saylen Cardoni,Unknown,,Jr,M,-,6,0,,,5,1,2,,1,,,,
Josh Brown,Unknown,,Jr,MD,-,17,15,2,1,20,4,4,,1,,,,1
Carter Kroenke,Unknown,,Jr,D,-,20,18,,1,6,3,5,,3,,,,
Max Lovinger,Unknown,,Jr,M,-,5,0,,1,7,3,,,,,,,
Aidan Lacy,Unknown,,Jr,M,-,2,0,,,1,1,,,,,,,
Thomas Vanni,Unknown,,Jr,M,-,19,19,2,9,46,21,11,,,,,,
John Dowd,Unknown,,Jr,M,-,20,11,2,,17,6,13,,1,,,,1
Jack Bonner,Unknown,,Jr,M,-,17,0,2,,17,8,7,1,1,,,,
Grayson Benson,Unknown,,Fr,GK,-,20,20,,,,,,,,,,,
Simon Bank,Unknown,,So,GK,6-0,1,0,,,,,,,,,,,
Pavel Yurkov,Unknown,,So,MD,6-0,4,0,1,1,5,1,3,,,,,,
Aaron Park,Unknown,,So,M,5-9,19,1,,1,7,3,6,,,,,,
Jonathan D'Amour,Unknown,,So,M,6-0,20,13,5,1,29,12,7,,3,1,1,,1
Tyler Jones,Unknown,,So,D,5-11,4,1,,,,,,,,,,,
Aidan Rodriguez,Unknown,,So,F,5-10,3,0,1,,4,2,2,,,,,,
Ollie McNamara,Unknown,,So,GK,6-4,1,0,,,,,,,,,,,
Sho Nadata,Unknown,,Fr,F,5-6,14,4,1,2,9,1,5,,1,,,,
Sam Kinsey,Unknown,,Fr,D,5-11,2,0,,,1,,2,,,,,,
Thomas Zamsky,Unknown,,Fr,M,5-9,3,0,,,1,1,,,,,,,
Aidan Wong,Unknown,,Fr,M,5-11,2,0,1,,1,1,1,,,,,,
Aiden Lee,Unknown,,Fr,M,5-9,17,5,2,1,9,3,7,,1,,,,1
James Smith,Unknown,,Fr,M,5-8,2,0,,,,,,,,,,,
Max McKinney,Unknown,,Fr,M,5-11,20,19,1,,5,2,6,,1,,,,1
Cooper Cohen,Unknown,,Fr,D,6-1,6,3,1,,2,2,2,,,,,,
Alex Kushnir,Unknown,,Fr,F,6-4,1,0,,1,5,1,2,,1,,1,,
Charles Sharp,Unknown,,Fr,F,6-0,20,15,5,3,53,19,16,,1,,,,2
TEAM,Unknown,,-,-,-,-,-,,,,,78,,1,,,,
Totals,Unknown,,-,-,-,-,-,34,28,334,131,204,1,21,2,3,90,10
Opponent Totals,Unknown,,-,-,-,-,-,9,4,144,54,201,1,31,1,1,71,
