Player Name,#,Yr,Pos,Ht,GP,GS,MP,FGM,FGA,FG%,3FG,3FGA,3FG%,FT,FTA,FT%,PTS,Avg,ORebs,DRebs,Tot Reb,Avg,AST,TO,STL,BLK,PF,DQ,Dbl Dbl,Tech Fouls,Bench Pts PG,Trpl Dbl,Bench
Alyssa Aslam,,Fr,G,5-9,13.0,0.0,132:18,7.0,17.0,41.18,,1.0,0.00,,2.0,0.00,14.0,2.08,5.0,22.0,27.0,2.08,5.0,12.0,7.0,3.0,10.0,,,,,,
Ashley Peterson,,So,G,5-7,2.0,0.0,5:51,,1.0,0.00,,1.0,0.00,,0.0,,,,,,,,,,,,1.0,,,,,,
Audrey Jakway,,Jr,F,6-0,13.0,13.0,438:02,82.0,189.0,43.39,9.0,41.0,21.95,23.0,52.0,44.23,196.0,11.46,41.0,108.0,149.0,11.46,17.0,44.0,19.0,33.0,32.0,,7.0,1.0,,,
Bri Heafey,,Fr,G,5-7,14.0,10.0,372:36,27.0,85.0,31.76,11.0,41.0,26.83,22.0,35.0,62.86,87.0,3.07,11.0,32.0,43.0,3.07,44.0,35.0,14.0,2.0,27.0,,,,,,
Briana Pellew,,So,G,6-2,10.0,0.0,59:16,2.0,6.0,33.33,,,,1.0,3.0,33.33,5.0,1.4,3.0,11.0,14.0,1.4,1.0,9.0,,5.0,6.0,,,,,,
Brianna Feifer,,Sr,G,5-10,14.0,14.0,441:19,54.0,146.0,36.99,13.0,42.0,30.95,22.0,29.0,75.86,143.0,5.86,19.0,63.0,82.0,5.86,19.0,34.0,28.0,22.0,25.0,1.0,1.0,,,,
Caroline Orza,,Sr,G,5-9,14.0,14.0,496:27,93.0,191.0,48.69,34.0,85.0,40.00,51.0,68.0,75.00,271.0,7.43,36.0,68.0,104.0,7.43,14.0,33.0,26.0,3.0,37.0,1.0,5.0,1.0,,,
Cayla Menicola,,So,G,5-10,5.0,4.0,99:45,10.0,28.0,35.71,,5.0,0.00,3.0,6.0,50.00,23.0,3.6,7.0,11.0,18.0,3.6,4.0,4.0,3.0,2.0,13.0,,,,,,
Georgia Koff-Gilmore,,Fr,G,5-7,14.0,3.0,306:17,23.0,81.0,28.40,10.0,40.0,25.00,8.0,20.0,40.00,64.0,2.5,8.0,27.0,35.0,2.5,30.0,17.0,17.0,1.0,18.0,1.0,,,,,
Gracie Eilberg,,Fr,G,5-5,6.0,0.0,36:45,1.0,8.0,12.50,,4.0,0.00,,0.0,,2.0,1.17,1.0,6.0,7.0,1.17,2.0,5.0,2.0,,4.0,,,,,,
Opponent Totals,,-,-,-,-,-,2850:00,293.0,914.0,32.06,67.0,288.0,23.26,144.0,236.0,61.02,797.0,43.64,213.0,398.0,611.0,43.64,147.0,245.0,114.0,37.0,188.0,3.0,14.0,,15.14,12.0,212.0
Shae Mercer,,Jr,G,5-8,13.0,12.0,422:48,42.0,114.0,36.84,7.0,33.0,21.21,10.0,15.0,66.67,101.0,4.54,9.0,50.0,59.0,4.54,62.0,32.0,17.0,3.0,35.0,1.0,1.0,,,,
TEAM,,-,-,-,-,-,,,,,,,,,,,,,23.0,36.0,59.0,,,13.0,,,,,,,,,
Totals,,-,-,-,-,-,2850:00,343.0,876.0,39.16,85.0,298.0,28.52,140.0,230.0,60.87,911.0,43.07,164.0,439.0,603.0,43.07,201.0,240.0,134.0,74.0,213.0,4.0,14.0,2.0,7.64,13.0,107.0
Urvi Iyer,,Fr,G,5-5,6.0,0.0,38:36,2.0,10.0,20.00,1.0,5.0,20.00,,0.0,,5.0,1.0,1.0,5.0,6.0,1.0,3.0,2.0,1.0,,5.0,,,,,,
