Player Name,#,Yr,Pos,Ht,GP,GS,Minutes,Goals,Assists,Points,ShAtt,SoG,Fouls,Red Cards,Yellow Cards,Corners,PK,PK Att,GWG
Abigale Baker,,Sr,D,-,18.0,18.0,1589:33,3.0,,6.0,23.0,13.0,12.0,,,,,,1.0
Alejandra Diaz,,Fr,,-,9.0,0.0,211:19,,,0.0,7.0,2.0,1.0,,,,,,
Ali Dorrego,,Jr,M,-,18.0,12.0,1012:03,,,0.0,9.0,5.0,10.0,,1.0,,,,
Allie Billups,,Jr,GK,-,17.0,5.0,990:00,,,0.0,,,,,,,,,
Carly Rusak,,So,M,5-6,14.0,7.0,442:58,,1.0,1.0,10.0,3.0,4.0,,,,,,
Caroline Flynn,,Fr,D,5-3,18.0,6.0,1166:36,,1.0,1.0,10.0,3.0,8.0,,1.0,,,,
Cate Lambert,,Sr,D,-,1.0,1.0,,,,0.0,,,,,,,,,
Claire Parker,,So,D,5-10,18.0,17.0,1291:01,,,0.0,4.0,1.0,7.0,,,,,,
Clare Hawley,,So,M,5-8,16.0,11.0,693:46,,2.0,2.0,7.0,3.0,2.0,,,,,,
Devyn Telleen,,Fr,F,5-7,10.0,3.0,447:00,2.0,,4.0,9.0,6.0,2.0,,,,,,1.0
Emma Kirk,,Jr,D,-,18.0,12.0,1151:41,1.0,3.0,5.0,14.0,7.0,2.0,,,,,,
Emma Murray,,Fr,M,5-3,13.0,7.0,896:11,1.0,1.0,3.0,11.0,7.0,6.0,,,,,,1.0
Emma Sherter,,Fr,M,5-1,2.0,0.0,15:00,,,0.0,,,,,,,,,
Giana Coletti,,Jr,F,-,2.0,0.0,32:20,,,0.0,1.0,,,,,,,,
Greenley Modica,,Sr,D,-,18.0,18.0,871:45,,,0.0,,,3.0,,,,,,
Kate Peters,,Fr,D,5-9,1.0,0.0,10:00,,,0.0,,,,,,,,,
Katie Dowd,,So,M,5-6,8.0,7.0,357:47,1.0,,2.0,5.0,3.0,,,,,,,1.0
Lauren Anderson,,Sr,M,-,18.0,18.0,1619:00,,,0.0,3.0,1.0,5.0,,1.0,,,,
Lily Buyer,,Sr,GK,-,13.0,13.0,630:00,,,0.0,,,,,1.0,,,,
Madeline Dosen,,Sr,D,-,11.0,8.0,559:07,,,0.0,7.0,4.0,7.0,,1.0,,,,
Mayah Simon,,Fr,D,5-6,3.0,0.0,57:00,,,0.0,,,1.0,,,,,,
Mia Peifer,,Jr,M,-,16.0,11.0,744:50,1.0,,2.0,7.0,1.0,8.0,,,,,,
Molly Morris,,Jr,M,-,3.0,0.0,26:00,,,0.0,,,,,,,,,
Nadia Alavi,,So,M,5-5,5.0,0.0,118:13,,,0.0,,,,,,,,,
Olivia Daulerio,,Sr,F,-,15.0,9.0,986:59,,1.0,1.0,18.0,9.0,6.0,,1.0,,,,
Opponent Totals,,-,-,-,-,-,18220:00,16.0,12.0,44.0,189.0,92.0,173.0,,14.0,78.0,2.0,3.0,7.0
Sofia Terry,,Jr,D,-,16.0,9.0,640:11,,1.0,1.0,5.0,5.0,6.0,,,,,,
Sophia Mitchell,,Fr,,5-4,18.0,6.0,842:01,3.0,,6.0,24.0,18.0,9.0,,,,,,2.0
TEAM,,-,-,-,-,-,,,,0.0,,,59.0,,,,,,
Totals,,-,-,-,-,-,18057:37,13.0,10.0,36.0,187.0,96.0,165.0,,6.0,94.0,,,6.0
Vilena Tchernychev,,Fr,M,5-3,17.0,0.0,655:16,1.0,,2.0,13.0,5.0,7.0,,,,,,
