Player Name,#,Yr,Pos,Ht,GP,GS,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RetAtt,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
Cameryn DeBlecourt,,Sr,S,5-7,27.0,21.0,100.0,30.0,3.0,98.0,0.276,496.0,41.0,23.0,201.0,5.0,1.0,,,,71.0,6.0,
Charlotte Dziki,,Fr,OH,5-9,20.0,13.0,58.0,49.0,32.0,176.0,0.097,2.0,,,28.0,14.0,,1.0,23.0,,61.5,,
Dasha Igonin,,Jr,S,5-7,21.0,1.0,74.0,9.0,1.0,47.0,0.170,216.0,24.0,21.0,109.0,1.0,,,,,33.0,3.0,
Eliana Brown,,Sr,OH,5-11,28.0,27.0,103.0,266.0,120.0,877.0,0.166,29.0,35.0,31.0,329.0,631.0,48.0,1.0,43.0,,323.5,3.0,
Elizabeth Cella,,Fr,OH,6-0,28.0,23.0,105.0,361.0,142.0,978.0,0.224,10.0,29.0,40.0,264.0,542.0,43.0,6.0,36.0,8.0,414.0,1.0,
Fiona Moord,,So,MB,6-2,28.0,9.0,105.0,182.0,74.0,470.0,0.230,5.0,,,23.0,3.0,,18.0,95.0,4.0,247.5,,
Gia Frank,,Jr,OPP,6-3,16.0,14.0,53.0,107.0,35.0,267.0,0.270,1.0,,,22.0,2.0,1.0,5.0,29.0,,126.5,,
Izabela Potocnjak,,Sr,RS,6-0,28.0,28.0,103.0,146.0,84.0,538.0,0.115,3.0,44.0,28.0,78.0,9.0,,1.0,55.0,9.0,218.5,1.0,
Kayla Chu,,Sr,S,5-8,25.0,7.0,85.0,10.0,1.0,30.0,0.300,295.0,25.0,17.0,137.0,6.0,1.0,,,,35.0,1.0,
Kira Chaney,,Jr,OH,5-10,28.0,4.0,96.0,0.0,4.0,22.0,-0.182,64.0,27.0,30.0,313.0,443.0,24.0,,,,27.0,,
Lolly Adair,,Fr,MB,6-0,5.0,0.0,5.0,0.0,1.0,5.0,-0.200,,,,,,,,1.0,,0.5,,
Maggie Turner,,So,MB,6-2,28.0,18.0,105.0,93.0,21.0,258.0,0.279,8.0,,,19.0,3.0,1.0,9.0,91.0,4.0,147.5,,
Marlena Kinlan,,Fr,DS,5-7,7.0,1.0,15.0,0.0,0.0,1.0,0.000,2.0,,3.0,14.0,18.0,3.0,,,,,,
Olivia DeVille,,So,OH,5-10,14.0,1.0,30.0,5.0,7.0,22.0,-0.091,2.0,7.0,11.0,24.0,33.0,7.0,,1.0,2.0,12.5,,
Opponent Totals,,-,-,-,-,-,105.0,1180.0,612.0,3927.0,0.145,1092.0,169.0,218.0,1761.0,2195.0,237.0,33.0,320.0,40.0,1542.0,20.0,11.0
Rachel Cohrs,,Fr,S,5-9,3.0,0.0,3.0,1.0,1.0,5.0,0.000,,,1.0,,,,,,1.0,1.0,,
Sierra Lever,,Fr,L/DS,5-4,22.0,1.0,73.0,2.0,0.0,14.0,0.143,41.0,4.0,3.0,244.0,204.0,23.0,,,,6.0,1.0,
TEAM,,-,-,-,-,-,66.0,0.0,0.0,0.0,,,1.0,,,7.0,17.0,,,,1.0,,
Totals,,-,-,-,-,-,105.0,1261.0,526.0,3808.0,0.193,1174.0,237.0,208.0,1805.0,1931.0,169.0,41.0,374.0,28.0,1726.0,16.0,11.0
