#,Player,Team,Mat,Inns,NO,Runs,4's,6's,50's,100's,HS,SR,Avg,Points
1,Nihaal Kochar,Haverford,8,8,1,341,24,15,1,1,112,127.24,48.71,977
2,Agastya Singh,Haverford,8,8,1,273,22,7,1,1,124,115.68,39.00,787
3,Sanil Kagawala,Haverford,8,8,2,234,13,11,3,0,63,120.62,39.00,745
4,Rustom Dubash,Haverford,8,8,0,58,0,0,0,0,20,40.56,7.25,48
5,Ishpuneet Singh,Haverford,8,7,1,55,2,0,0,0,16,73.33,9.17,87
6,Mayur G,Merion CC,1,1,0,52,3,4,1,0,52,144.44,52.00,187
7,Shariq Khan,Merion CC,2,2,0,51,7,0,0,0,28,113.33,25.50,118
8,Arsalan Shafqat,Merion CC,1,1,0,45,4,4,0,0,45,187.5,45.00,137
9,Zohair Hasan,Drexel CC,1,1,1,44,5,0,0,0,44,93.62,--,89
10,Ishaan Bansal,BOCC,1,1,0,40,6,0,0,0,40,114.29,40.00,96
11,Ron X,Amwell Valley CC,1,1,1,40,1,0,0,0,40,86.96,--,81
12,Aminul Nuhash,Drexel CC,1,1,0,38,3,2,0,0,38,115.15,38.00,85
13,Subu Ramalingam,Germantown CC,1,1,0,33,5,0,0,0,33,173.68,33.00,98
14,Muzahid Arif,Drexel CC,1,1,1,32,2,3,0,0,32,266.67,--,120
15,Vinay Bansal,BOCC,1,1,0,32,3,0,0,0,32,118.52,32.00,75
16,Udit Mehta,Penn,1,1,1,28,3,0,0,0,28,100.0,--,61
17,Vishnu Cooblall,Merion CC,2,2,1,27,1,0,0,0,18,56.25,27.00,28
18,Kirby Hassan,Merion CC,1,1,1,24,3,0,0,0,24,88.89,--,47
19,Anuj Poddar,Haverford,6,5,3,24,1,0,0,0,6,29.27,12.00,-15
20,Santosh Kumar,Germantown CC,1,1,0,23,1,0,0,0,23,76.67,23.00,44
21,Rehaan Kumar,Penn,1,1,0,23,2,0,0,0,23,67.65,23.00,45
22,Sid Jain,Penn,1,1,1,23,3,0,0,0,23,60.53,--,46
23,Subash A,Penn Alumni,1,1,0,21,2,2,0,0,21,150.0,21.00,77
24,Kishore X,Amwell Valley CC,1,1,0,21,2,0,0,0,21,95.45,21.00,43
25,Vivaan Hingad,Haverford,8,6,1,20,0,0,0,0,14,29.41,4.00,0
26,Bilal Hassan,Merion CC,2,1,0,19,1,0,0,0,19,73.08,19.00,30
27,Alan X,Amwell Valley CC,1,1,0,19,1,0,0,0,19,63.33,19.00,30
28,Krish P,BOCC,1,1,1,18,1,0,0,0,18,128.57,--,49
29,Mihir Trivedi,Germantown CC,1,1,0,17,0,0,0,0,17,54.84,17.00,27
30,Kieran T,Germantown CC,1,1,0,17,0,0,0,0,17,51.52,17.00,27
31,Rohan Sarma,Haverford,8,5,1,16,0,0,0,0,10,39.02,4.00,6
32,Dilpreet Bajwa,Merion CC,1,1,1,13,2,0,0,0,13,144.44,--,45
33,Adwaita Iyer,Penn,1,1,0,12,1,0,0,0,12,100.0,12.00,33
34,Sampath Kumar,Penn Alumni,1,1,0,12,0,0,0,0,12,50.0,12.00,22
35,Calder Rahn,Haverford,8,5,2,12,1,0,0,0,8,46.15,4.00,-7
36,Anargha Das,Penn Alumni,1,1,0,11,2,0,0,0,11,110.0,11.00,33
37,Amim Hasan,BOCC,1,1,0,11,0,0,0,0,11,61.11,11.00,21
38,Ian Turner,BOCC,1,1,0,11,0,0,0,0,11,61.11,11.00,21
39,Hasan A,Penn Alumni,1,1,0,11,0,0,0,0,11,42.31,11.00,11
40,Owen X,Amwell Valley CC,1,1,1,10,0,0,0,0,10,62.5,--,20
41,Suri P,Germantown CC,1,1,0,10,0,0,0,0,10,58.82,10.00,20
42,Eric X,Germantown CC,1,1,0,9,0,1,0,0,9,112.5,9.00,11
43,Soutrik Mukherjee,Penn,1,1,0,9,0,0,0,0,9,69.23,9.00,9
44,Vishnu Reddy,Penn Alumni,1,1,0,8,2,0,0,0,8,266.67,8.00,10
45,Rahul X,Penn Alumni,1,1,0,8,1,0,0,0,8,57.14,8.00,9
46,Divanshu X,Penn Alumni,1,1,1,7,0,0,0,0,7,87.5,--,7
47,Agrim Kalia,Drexel CC,1,1,0,7,1,0,0,0,7,53.85,7.00,8
48,Ian Turner,Merion CC,1,1,1,7,0,0,0,0,7,46.67,--,-3
49,Shasi V,Drexel CC,1,1,0,7,0,0,0,0,7,43.75,7.00,-3
50,Kunal Singh,Merion CC,1,1,0,6,0,0,0,0,6,85.71,6.00,6
51,Chris L,BOCC,1,1,0,6,0,0,0,0,6,37.5,6.00,-4
52,Mick Feild,Merion CC,2,1,1,5,1,0,0,0,5,83.33,--,6
53,Aryaman Meswani,Penn,1,1,1,5,0,0,0,0,5,55.56,--,5
54,Chris X,Amwell Valley CC,1,1,0,5,0,0,0,0,5,45.45,5.00,-5
55,Manoj Pandey,BOCC,1,1,0,4,0,0,0,0,4,40.0,4.00,-6
56,Rohit Sharma,Penn Alumni,1,1,0,4,0,0,0,0,4,30.77,4.00,-6
57,Jagen X,Germantown CC,1,1,0,3,0,0,0,0,3,100.0,3.00,3
58,Steve X,Amwell Valley CC,1,1,1,3,0,0,0,0,3,37.5,--,3
59,Neil X,Amwell Valley CC,1,1,0,3,0,0,0,0,3,25.0,3.00,-7
60,Matt Brukman,Merion CC,1,1,1,2,0,0,0,0,2,50.0,--,2
61,Ahsan Haseeb,Merion CC,1,1,0,2,0,0,0,0,2,50.0,2.00,2
62,Ari Porthakur,Germantown CC,1,1,0,2,0,0,0,0,2,40.0,2.00,2
63,Sami Hasan,BOCC,1,1,0,2,0,0,0,0,2,20.0,2.00,-8
64,Adi Reddy,Penn Alumni,1,1,0,1,0,0,0,0,1,33.33,1.00,1
65,Feroze X,Germantown CC,1,1,0,1,0,0,0,0,1,33.33,1.00,1
66,Peter Lamd,Germantown CC,1,1,0,1,0,0,0,0,1,33.33,1.00,1
67,Yogesh Jamkhindikar,BOCC,1,1,0,1,0,0,0,0,1,20.0,1.00,1
68,Oliver (haverford),Amwell Valley CC,1,1,1,1,0,0,0,0,1,10.0,--,-9
69,Yadna Prasad,Haverford,7,3,3,1,0,0,0,0,1,3.7,--,1
