Player Name,#,Yr,Pos,GP,GS,Goals,AST,PTS,ShAtt,Fouls,RC,YC,GC,DSv
Naomi York,,Sr,F,20,20,11,2,24,36,,,1,4,1
Joelle McElroy,,Sr,M,20,20,,,0,2,1,,2,1,
Abigail Trapp,,Sr,M,20,20,2,4,8,7,,,,2,
Holly Vincent,,Sr,M,20,20,2,7,11,55,,,,3,
Caroline Frost,,Sr,F,16,1,,,0,7,,,,,
Lindsey Turner,,Jr,F,10,0,,,0,1,,,,,
Erica Pardon,,Jr,F,20,20,8,10,26,53,,,1,,
Kendall Fleet,,Jr,B,20,5,,1,1,4,,,,1,
Louisa Coughlin,,Jr,B,20,20,7,2,16,27,,,,1,1
Brynn Bickel,,Jr,B,17,9,,,0,,,,,1,
Poppy Swallow,,Jr,M,20,1,,2,2,7,,,,,
Ava Giardino,,So,M,3,0,,,0,,,,1,,
Lily Gover,,So,M,20,17,1,,2,20,1,,,1,
Carolina Sanchez,,So,M,20,20,,,0,1,,,,,
Alice Stein,,Fr,,20,19,10,1,21,41,,,,2,
TEAM,,-,-,-,-,,,0,,670,,,,
Totals,,-,-,-,-,41,29,111,264,672,,5,16,2
Opponent Totals,,-,-,-,-,22,18,62,216,597,,2,11,9
