Player Name,#,Yr,Pos,Ht,GP,GS,MP,FGM,FGA,FG%,3FG,3FGA,3FG%,FT,FTA,FT%,Avg,PTS,ORebs,DRebs,Tot Reb,Avg,AST,TO,STL,BLK,Fouls,Dbl Dbl,Trpl Dbl,DQ,Tech Fouls,Effective FG Pct.,Bench
Isaac Varghese,,Jr,G,6-1,14,1,209:43,24,73,32.88,14,41,34.15,9,11,81.82,1.21,71,5,12,17,1.21,14,21,7,1,14,,,,,1.000,0
Seth Anderson,,Jr,F,6-8,14,1,220:11,19,54,35.19,5,20,25.00,4,7,57.14,3.79,47,22,31,53,3.79,14,13,5,3,17,,,,,2.000,0
Gaven Marr,,Jr,G,6-3,8,5,148:30,23,63,36.51,14,33,42.42,14,18,77.78,2.75,74,3,19,22,2.75,11,13,8,1,6,,,,,,0
Raja Coleman,,Jr,G,5-9,14,6,279:53,26,83,31.33,18,57,31.58,14,24,58.33,2.00,84,5,23,28,2.00,23,23,7,,32,,,1,,,0
Alex George,,So,G,6-1,14,12,283:42,19,33,57.58,,3,0.00,11,15,73.33,1.21,49,10,7,17,1.21,30,16,8,1,28,,,,,3.000,0
Carter Warren,,So,G,5-10,14,8,273:26,23,87,26.44,16,68,23.53,13,17,76.47,2.86,75,11,29,40,2.86,43,29,15,1,34,,,1,,,0
Christian Uremovich,,So,F,6-6,14,13,269:35,54,96,56.25,,,,16,20,80.00,3.57,124,16,34,50,3.57,19,11,9,4,10,,,,1,,0
Henry Nam,,So,G,6-6,8,0,25:02,5,9,55.56,2,2,100.00,,,,0.50,12,3,1,4,0.50,1,2,,,,,,,,,0
Ian Hochman,,So,F,6-6,10,0,44:55,2,9,22.22,1,4,25.00,,,,1.20,5,3,9,12,1.20,,1,1,1,4,,,,,1.000,0
Adam Strong-Jacobson,,So,F,6-7,14,13,295:37,62,100,62.00,8,18,44.44,40,63,63.49,8.29,172,40,76,116,8.29,16,25,15,19,21,5,,,,1.000,0
Lawson Holland,,Fr,G,6-2,9,0,34:01,4,10,40.00,4,10,40.00,,,,0.56,12,2,3,5,0.56,,2,2,1,4,,,,,1.000,0
Niko Rizos,,Fr,G,6-5,14,1,198:38,26,60,43.33,2,12,16.67,13,24,54.17,5.21,67,23,50,73,5.21,14,16,8,10,25,1,,,,1.000,0
Emmanuel Cheung Hernandez,,Fr,G,6-2,14,1,176:05,35,81,43.21,2,5,40.00,15,29,51.72,3.79,87,29,24,53,3.79,13,27,14,1,36,1,,1,,2.000,0
Kae Kilic,,Fr,G,5-10,11,0,47:24,11,14,78.57,8,11,72.73,4,5,80.00,0.64,34,2,5,7,0.64,3,2,3,,2,,,,,5.000,0
Tyler Nolan,,Fr,G,6-3,14,9,269:04,36,121,29.75,21,71,29.58,23,35,65.71,2.86,116,15,25,40,2.86,8,16,17,3,25,,,,,,0
Josh Ho,,Fr,G,6-2,8,0,24:13,4,11,36.36,,1,0.00,5,8,62.50,0.38,13,,3,3,0.38,2,1,1,,1,,,,,1.000,0
TEAM,,-,-,-,-,-,,,,,,,,,,,,,21,32,53,,,4,,,,,,,,,
Totals,,-,-,-,-,-,2799:59,373,904,41.26,115,356,32.30,181,276,65.58,42.36,"1,042",210,383,593,42.36,211,222,120,46,259,14,13,3,1,,493
Opponent Totals,,-,-,-,-,-,2800:00,347,849,40.87,103,319,32.29,198,274,72.26,36.57,995,154,358,512,36.57,161,213,113,46,232,14,12,,3,,289
