Athlete Name,TFRR ID,"10,000",1500,200,3 MILE (XC),300,3000,3000S,4 MILE (XC),400,400H,5000,60H,800,8K (XC),DT,HJ,JT,LJ,MILE,PV,SP
"BENJAMIN AARON
(FR-1)",9164472,,,,,,,,25:31.8,,,,,,,,,,,,,
"DEVEN ABRAMS
(JR-3)",8234096,,,,,,9:49.02,10:51.26,22:34.2,,,16:49.87,,,27:49.8,,,,,4:49.97,,
"OLIVER BARR
(FR-1)",9164467,,,,,,,,21:22.6,,,,,,,,,,,,,
"PETER BEREDJIKLIAN
(FR-1)",9257515,,,,,,,,,,,,,,,,,,,,,
"GABRIEL BERNSTEIN
(FR-1)",9164475,,,,16:59.0,,,,22:39.9,,,,,,,,,,,,,
"NIKO BEROS
(SO-2)",8983285,,,"22.75
(0.1)",,,,,,,,,,,,,,,,,,
"OWEN BLUMAN
(JR-3)",8586882,,,,,,,,20:41.7,,,15:26.95,,,25:23.6,,,,,4:29.10,,
"ZENAS BOAMAH
(JR-3)",8685317,,,"23.50
(+0.0)",,,,,,56.47,,,,,,,,,,,,
"COLE BRANSTROM
(FR-1)",9164463,,,,15:28.0,,,,20:48.0,,,,,,,,,,,,,
"JOSEPH DE ROSA
(SR-4)",8234097,32:59.77,,,16:32.0,,9:01.56,,21:08.3,,,16:04.11,,,,,,,,,,
"LUKE DE VALPINE
(JR-3)",8586883,31:11.03,,,15:11.0,,8:40.89,,20:54.3,,,14:57.13,,,,,,,,,,
"LIAM DEIMLER
(FR-1)",9164477,,,,,,,,23:11.6,,,,,,,,,,,,,
"NICKY ELIAS-GILLETTE
(SO-2)",8894598,,,,16:57.0,,9:35.52,10:20.21,21:59.3,,,,,,,,,,,,,
"THOMAS FENDIG
(SO-2)",8983280,,,"22.44
(1.2)",,36.34,,,,48.70,,,,,,,,,,,,
"WADE GAROUTTE
(FR-1)",9164469,,,,16:07.0,,,,21:07.1,,,,,,,,,,,,,
"ALEX GENG
(JR-3)",8983278,,,,,,,,,,,,9.49,,,,,,,,,
"DANIEL GORDON
(FR-1)",9164465,,,,,,,,,,,,,,,,,,,,,
"WYATT GRACE
(FR-1)",9164471,,,,17:27.0,,,,22:43.6,,,,,,,,,,,,,
"WILLIAM GRAY
(FR-1)",9164476,,,,,,,,23:26.1,,,,,,,,,,,,,
"NICO GREENE
(SO-2)",8983286,,,"23.02
(1.2)",,38.27,,,,54.59,55.43,,,,,,,,"6.18m



       
      
20' 3.5""",,,
"RAINE GUIDARELLI
(SO-2)",9164478,,,,,,,,22:12.1,,,,,,,,,,,,,
"JONAH HOFFMAN-WEITSMAN
(SR-4)",8317908,,,"24.73
(1.2)",,,,,,57.47,,,,,,,,,,,,
"JACKSON JUZANG
(SR-4)",8983277,,,24.82,,,,,,,,,,,,,"1.65m



       
      
5' 5""",,"6.24m
(0.1)



       
      
20' 5.75""",,,
"JOEY KIM
(SO-2)",8983284,,,,,,,,,,,,,,,,,,,,,
"KOFI KIM
(FR-1)",9257512,,,,,,,,,,,,,,,,,,,,,
"REEF KIRCHNER
(SO-2)",8894596,,,,16:14.0,,,,21:57.8,,,,,,,,,,,4:32.70,,
"EMERSON KOCH
(SO-2)",8894595,,,,,,,,,,,,,,,,,,,,,
"MICAH LACHMAN
(SR-4)",8234098,,,,14:47.0,,8:39.95,,20:19.8,,,14:52.31,,,,,,,,4:22.25,,
"SIMON LANE
(FR-1)",9164464,,,,,,,,19:54.4,,,,,,,,,,,,,
"JOSUE LAURORE
(FR-1)",9164473,,,,,,,,24:09.5,,,,,,,,,,,,,
"JORY LEE
(SR-4)",8317912,,,,,,,,,,,,,,,,,,"6.52m



       
      
21' 4.75""",,,
"KYLER LEE
(FR-1)",9257513,,,,,,,,,,,,,,,,,,,,,
"IAN LIHANI
(FR-1)",9257511,,,,,,,,,,,,,,,,,,,,,
"SAMUEL LIN
(SO-2)",8983281,,,23.73,,,,,,54.58,,,8.57,,,,,,,,,
"DEREK LINDEN
(SO-2)",8983283,,,"24.71
(1.2)",,40.20,,,,55.43,,,,,,,,,,,,
"JAKOB MAIWALD
(SR-4)",8234099,32:02.74,,,15:36.0,,8:43.56,,20:53.6,,,15:24.71,,,,,,,,,,
