Player Name,#,Yr,Pos,Ht,GP,GS,MP,FGM,FGA,FG%,3FG,3FGA,3FG%,FT,FTA,FT%,PTS,Avg,ORebs,DRebs,Tot Reb,Avg,AST,TO,STL,BLK,PF,DQ,Dbl Dbl,Tech Fouls,Bench Pts PG,Trpl Dbl,Bench
Caroline Orza,,Sr,G,5-9,14,14,496:27,93,191,48.69,34,85,40.00,51,68,75.00,271,7.43,36,68,104,7.43,14,33,26,3,37,1,5,1,,,
Brianna Feifer,,Sr,G,5-10,14,14,441:19,54,146,36.99,13,42,30.95,22,29,75.86,143,5.86,19,63,82,5.86,19,34,28,22,25,1,1,,,,
Shae Mercer,,Jr,G,5-8,13,12,422:48,42,114,36.84,7,33,21.21,10,15,66.67,101,4.54,9,50,59,4.54,62,32,17,3,35,1,1,,,,
Audrey Jakway,,Jr,F,6-0,13,13,438:02,82,189,43.39,9,41,21.95,23,52,44.23,196,11.46,41,108,149,11.46,17,44,19,33,32,,7,1,,,
Briana Pellew,,So,G,6-2,10,0,59:16,2,6,33.33,,,,1,3,33.33,5,1.40,3,11,14,1.40,1,9,,5,6,,,,,,
Ashley Peterson,,So,G,5-7,2,0,5:51,,1,0.00,,1,0.00,,0,,,,,,,,,,,,1,,,,,,
Cayla Menicola,,So,G,5-10,5,4,99:45,10,28,35.71,,5,0.00,3,6,50.00,23,3.60,7,11,18,3.60,4,4,3,2,13,,,,,,
Urvi Iyer,,Fr,G,5-5,6,0,38:36,2,10,20.00,1,5,20.00,,0,,5,1.00,1,5,6,1.00,3,2,1,,5,,,,,,
Bri Heafey,,Fr,G,5-7,14,10,372:36,27,85,31.76,11,41,26.83,22,35,62.86,87,3.07,11,32,43,3.07,44,35,14,2,27,,,,,,
Georgia Koff-Gilmore,,Fr,G,5-7,14,3,306:17,23,81,28.40,10,40,25.00,8,20,40.00,64,2.50,8,27,35,2.50,30,17,17,1,18,1,,,,,
Gracie Eilberg,,Fr,G,5-5,6,0,36:45,1,8,12.50,,4,0.00,,0,,2,1.17,1,6,7,1.17,2,5,2,,4,,,,,,
Alyssa Aslam,,Fr,G,5-9,13,0,132:18,7,17,41.18,,1,0.00,,2,0.00,14,2.08,5,22,27,2.08,5,12,7,3,10,,,,,,
TEAM,,-,-,-,-,-,,,,,,,,,,,,,23,36,59,,,13,,,,,,,,,
Totals,,-,-,-,-,-,2850:00,343,876,39.16,85,298,28.52,140,230,60.87,911,43.07,164,439,603,43.07,201,240,134,74,213,4,14,2,7.64,13,107
Opponent Totals,,-,-,-,-,-,2850:00,293,914,32.06,67,288,23.26,144,236,61.02,797,43.64,213,398,611,43.64,147,245,114,37,188,3,14,,15.14,12,212
