Player Name,#,Yr,Pos,Ht,GP,GS,Minutes,Goals,Assists,Points,ShAtt,SoG,Fouls,Red Cards,Yellow Cards,Corners,PK,PK Att,GWG
Madeline Dosen,,Sr,D,-,11,8,559:07,,,0,7,4,7,,1,,,,
Lily Buyer,,Sr,GK,-,13,13,630:00,,,0,,,,,1,,,,
Cate Lambert,,Sr,D,-,1,1,,,,0,,,,,,,,,
Greenley Modica,,Sr,D,-,18,18,871:45,,,0,,,3,,,,,,
Olivia Daulerio,,Sr,F,-,15,9,986:59,,1,1,18,9,6,,1,,,,
Abigale Baker,,Sr,D,-,18,18,1589:33,3,,6,23,13,12,,,,,,1
Lauren Anderson,,Sr,M,-,18,18,1619:00,,,0,3,1,5,,1,,,,
Allie Billups,,Jr,GK,-,17,5,990:00,,,0,,,,,,,,,
Mia Peifer,,Jr,M,-,16,11,744:50,1,,2,7,1,8,,,,,,
Ali Dorrego,,Jr,M,-,18,12,1012:03,,,0,9,5,10,,1,,,,
Molly Morris,,Jr,M,-,3,0,26:00,,,0,,,,,,,,,
Emma Kirk,,Jr,D,-,18,12,1151:41,1,3,5,14,7,2,,,,,,
Giana Coletti,,Jr,F,-,2,0,32:20,,,0,1,,,,,,,,
Sofia Terry,,Jr,D,-,16,9,640:11,,1,1,5,5,6,,,,,,
Claire Parker,,So,D,5-10,18,17,1291:01,,,0,4,1,7,,,,,,
Nadia Alavi,,So,M,5-5,5,0,118:13,,,0,,,,,,,,,
Carly Rusak,,So,M,5-6,14,7,442:58,,1,1,10,3,4,,,,,,
Clare Hawley,,So,M,5-8,16,11,693:46,,2,2,7,3,2,,,,,,
Katie Dowd,,So,M,5-6,8,7,357:47,1,,2,5,3,,,,,,,1
Vilena Tchernychev,,Fr,M,5-3,17,0,655:16,1,,2,13,5,7,,,,,,
Emma Sherter,,Fr,M,5-1,2,0,15:00,,,0,,,,,,,,,
Alejandra Diaz,,Fr,,-,9,0,211:19,,,0,7,2,1,,,,,,
Sophia Mitchell,,Fr,,5-4,18,6,842:01,3,,6,24,18,9,,,,,,2
Devyn Telleen,,Fr,F,5-7,10,3,447:00,2,,4,9,6,2,,,,,,1
Mayah Simon,,Fr,D,5-6,3,0,57:00,,,0,,,1,,,,,,
Caroline Flynn,,Fr,D,5-3,18,6,1166:36,,1,1,10,3,8,,1,,,,
Kate Peters,,Fr,D,5-9,1,0,10:00,,,0,,,,,,,,,
Emma Murray,,Fr,M,5-3,13,7,896:11,1,1,3,11,7,6,,,,,,1
TEAM,,-,-,-,-,-,,,,0,,,59,,,,,,
Totals,,-,-,-,-,-,18057:37,13,10,36,187,96,165,,6,94,,,6
Opponent Totals,,-,-,-,-,-,18220:00,16,12,44,189,92,173,,14,78,2,3,7
